Artist,Tracks,Hit or Flop
Olivia Rodrigo,drivers license,Hit
Ariana Grande,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Hit
24kGoldn,Mood (feat. iann dior),Hit
The Weeknd,Blinding Lights,Hit
Ariana Grande,positions,Hit
Dua Lipa,Levitating (feat. DaBaby),Hit
Chris Brown,Go Crazy,Hit
Justin Bieber,Holy (feat. Chance The Rapper),Hit
AJR,Bang!,Hit
SZA,Good Days,Flop
Pop Smoke,For The Night (feat. Lil Baby & DaBaby),Hit
Gabby Barrett,I Hope (feat. Charlie Puth),Hit
Billie Eilish,Therefore I Am,Hit
Justin Bieber,Lonely (with benny blanco),Hit
Luke Combs,Better Together,Flop
Megan Thee Stallion,Body,Hit
Drake,Laugh Now Cry Later (feat. Lil Durk),Hit
Bad Bunny,DÁKITI,Hit
CJ,Whoopty,Hit
The Weeknd,Save Your Tears,Hit
Internet Money,Lemonade,Hit
Juice WRLD,Bad Boy (with Young Thug),Hit
Pop Smoke,What You Know Bout Love,Hit
Morgan Wallen,Wasted On You,Hit
Morgan Wallen,7 Summers,Hit
Justin Bieber,Anyone,Hit
Morgan Wallen,More Than My Hometown,Hit
Taylor Swift,willow,Flop
Ava Max,Kings & Queens,Hit
Lewis Capaldi,Before You Go,Hit
Tate McRae,you broke me first,Hit
Yung Bleu,You’re Mines Still (feat. Drake),Hit
Lil Baby,On Me,Hit
Machine Gun Kelly,my ex's best friend (with blackbear),Hit
Chris Stapleton,Starting Over,Hit
Morgan Wallen,Somebody’s Problem,Hit
DaBaby,ROCKSTAR (feat. Roddy Ricch),Hit
Dan + Shay,I Should Probably Go To Bed,Hit
Doja Cat,Streets,Flop
Morgan Wallen,Sand In My Boots,Hit
Ed Sheeran,Afterglow,Hit
Niko Moon,GOOD TIME,Hit
Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Hit
Kelsea Ballerini,hole in the bottle,Flop
BTS,Dynamite,Hit
Pooh Shiesty,Back In Blood (feat. Lil Durk),Hit
Sam Smith,Diamonds,Hit
Jawsh 685,Savage Love (Laxed - Siren Beat),Hit
Saweetie,Best Friend (feat. Doja Cat),Hit
Cardi B,WAP (feat. Megan Thee Stallion),Hit
Megan Thee Stallion,Cry Baby (feat. DaBaby),Hit
The Kid LAROI,WITHOUT YOU,Hit
H.E.R.,Damage,Hit
BRS Kash,Throat Baby (Go Baby),Hit
DaBaby,Masterpiece,Hit
Russell Dickerson,Love You Like I Used To,Hit
Kenny Chesney,Happy Does,Hit
Saweetie,Back to the Streets (feat. Jhené Aiko),Hit
Lil Nas X,HOLIDAY,Hit
Thomas Rhett,What’s Your Country Song,Hit
Ritt Momney,Put Your Records On,Flop
Lady A,Champagne Night - From Songland,Hit
Lil Durk,Still Trappin' (with King Von),Hit
Darius Rucker,Beers And Sunshine,Hit
Luke Combs,Forever After All,Hit
Morgan Wallen,Still Goin Down,Hit
Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),Hit
Chris Lane,"Big, Big Plans",Hit
Jack Harlow,Tyler Herro,Hit
Luke Bryan,Down To One,Hit
Morgan Wallen,Cover Me Up,Hit
Morgan Wallen,Warning,Hit
Parmalee,Just the Way,Hit
Morgan Wallen,865,Hit
21 Savage,Mr. Right Now (feat. Drake),Hit
Tim McGraw,Undivided,Hit
All Time Low,Monsters (feat. Demi Lovato and blackbear),Hit
Jason Derulo,Take You Dancing,Hit
Miley Cyrus,Prisoner (feat. Dua Lipa),Hit
Florida Georgia Line,Long Live,Hit
Gabby Barrett,The Good Ones,Hit
Harry Styles,Golden,Hit
Erica Banks,Buss It,Hit
SpotemGottem,Beat Box,Hit
Travis Scott,Goosebumps - Remix,Hit
SZA,Hit Different,Hit
The Kid LAROI,SO DONE,Hit
KAROL G,BICHOTA,Hit
DDG,Moonwalking in Calabasas,Hit
Popp Hunna,Adderall (Corvette Corvette),Hit
Black Eyed Peas,GIRL LIKE ME,Hit
Selena Gomez,De Una Vez,Hit
Dustin Lynch,Momma’s House,Hit
Ant Clemons,Better Days (feat. Justin Timberlake),Flop
Brett Young,Lady,Hit
Future,Drankin N Smokin,Hit
Tenille Arts,Somebody Like That,Hit
Keith Urban,One Too Many,Hit
Eric Church,Hell Of A View,Hit
Morgan Wallen,Dangerous,Hit
